# =====================================================================
# Super Ace 轉輪帶還原表（初始滾停畫面用｜帶長 200）
# =====================================================================
# 產生日期   : 2026-08-13
# 資料來源   : JILI Super Ace 實機側錄 JSONL
#              BG = Combined_NoJP + BG_3 + BG_4（166,050 spins，初始盤面）
#              FG = 上述檔案 + feature_buy x2 的 FG 盤面（22,565 spins）
# 還原方法   : 4-格窗 de Bruijn 圖 + 最小成本流配平 + 補圈至 200 格
#              + Euler 迴圈組帶；逐格停輪權重 = 實測頻率 / 帶上重複數
#
# 符號對照   : M1=ACE(Symbol1)  M2=K(Symbol2)  M3=Q(Symbol3)  M4=J(Symbol4)
#              A=低分1(Symbol5) K=低分2(Symbol6) Q=低分3(Symbol7) J=低分4(Symbol8)
#              C1=Scatter(Bonus)
#
# 使用規則   :
#  1. 每輪帶長固定 200，循環帶。停輪位置 p 的盤面 = 帶上 p, p+1, p+2, p+3 四格。
#  2. 停輪權重（*_stopW）已正規化為平均 1.000。各輪獨立依權重抽停輪位置，
#     即可精確重現側錄資料各輪的初始窗格分布（含停輪加權效果；
#     輪與輪之間為獨立抽樣，與一般轉輪帶模型相同）。
#  3. 每個側錄中實際出現過的 4-格窗（RNG 停點）都在對應輪帶上，
#     權重 > 0 的格子皆為實測出現過的窗格，無虛構停點。
#  4. BG 需搭配【Scatter 抑制層】：盤面若將出現恰好 2 個 Scatter，
#     有 37.1% 機率將其中 1 個（不含 R1）換成一般符號。
#     被抑制後顯示的 63 種變體窗格不是輪帶停點（詳見文末
#     [BG_ScatterSuppression] 對照表），由抑制層動態產生。
#     FG 資料中無任何抑制痕跡，FG 不需此層。
#  5. 金框(Golden Card)與連消補牌不在輪帶內，為獨立圖層/權重表
#     （參照 轉輪帶還原_Super_Ace.md §8 §9）。
#  6. 帶上排列順序在統計上不唯一（同一窗格集合可有多種循環排列），
#     但盤面機率分布唯一，與 JILI 原版統計等價。
# =====================================================================

[BG]
Pos	R1	R2	R3	R4	R5	R1_stopW	R2_stopW	R3_stopW	R4_stopW	R5_stopW
0	M4	K	M3	K	K	1.1611	1.2249	1.3032	1.1972	1.1792
1	A	K	C1	A	M3	1.1743	1.1563	1.2876	1.1659	1.1322
2	K	M2	J	Q	J	1.1466	1.2755	0.6829	1.1238	1.1996
3	M1	M2	Q	M2	A	1.0587	1.2117	1.3394	1.1575	0.6064
4	A	A	Q	K	K	1.1478	1.0840	1.3634	1.1659	0.5836
5	J	C1	J	Q	Q	1.1707	1.2346	1.2502	1.2171	1.1262
6	M4	Q	Q	Q	M3	1.2671	1.2273	1.2310	1.2081	1.1454
7	K	M2	J	A	M3	1.2382	1.1587	1.2117	1.2033	1.1755
8	C1	Q	M3	M3	J	1.1358	1.2141	1.1936	1.2695	1.1177
9	M1	Q	Q	M4	Q	1.1623	1.1503	0.8897	1.1635	1.2129
10	J	M2	Q	K	J	0.9816	1.2719	1.3104	0.3963	1.1575
11	M3	K	J	K	A	1.0828	1.1972	1.2189	0.5935	1.1864
12	M2	M4	J	K	J	1.1454	1.2346	1.1527	0.3935	1.1478
13	M4	M2	M1	Q	M3	1.1888	1.1021	1.1177	0.3902	1.2008
14	M4	M1	J	K	K	1.1394	1.0828	1.1948	0.3963	1.1563
15	C1	M3	M2	K	M2	1.1972	0.5896	1.1948	0.5935	1.1647
16	M3	M4	J	K	M1	1.1189	0.5878	0.1499	0.3935	1.1406
17	K	A	J	Q	C1	1.1069	1.2840	0.1499	0.3902	1.1057
18	A	A	J	K	Q	1.1045	1.2129	0.1499	0.3963	1.1804
19	J	M2	J	K	Q	1.1599	0.8267	0.1499	0.5935	1.1840
20	Q	M2	J	K	Q	1.2008	0.8303	0.1499	0.3935	1.1177
21	M3	M2	J	Q	J	1.1274	0.7410	0.1499	0.3902	1.1587
22	M3	A	J	K	M1	1.1912	0.4481	0.1499	1.1743	1.1069
23	J	A	J	K	A	1.0942	0.4481	0.1499	1.1924	1.1816
24	A	A	J	K	M2	1.0997	0.4481	0.1499	1.1707	1.1804
25	A	A	J	M4	A	1.0792	0.4481	1.3369	1.1503	1.1274
26	M4	A	J	Q	J	1.0551	0.4481	1.2008	1.1731	1.1768
27	M3	A	J	J	Q	1.1075	0.4481	1.1780	1.1864	1.1213
28	K	A	Q	Q	A	1.1298	0.4481	1.0611	1.2020	1.1201
29	M2	A	K	K	Q	1.0949	0.4481	1.0503	1.2045	1.1213
30	M1	A	M1	M2	M3	1.1117	0.4481	1.0671	1.2045	1.1575
31	M4	A	A	J	J	1.0900	0.6101	1.0732	1.1960	1.1719
32	Q	A	M4	K	J	1.1045	0.5944	1.1478	0.7897	1.1503
33	K	A	K	M4	J	1.1888	0.6528	1.1093	0.7825	1.1346
34	M3	M2	M4	M4	M4	1.1828	0.5342	1.1539	1.1551	1.2020
35	Q	M4	M1	M4	K	1.2671	1.1539	1.0370	1.1527	1.1406
36	Q	A	J	K	M2	1.1900	1.2587	1.1213	1.1599	1.1454
37	J	M3	K	Q	M1	1.1743	1.1454	1.0515	1.2346	1.1298
38	J	A	A	K	J	1.1503	1.1009	1.1093	1.2020	1.2550
39	M1	M4	A	Q	K	1.0226	1.1105	1.0804	1.2466	1.1358
40	M2	M2	M4	M4	M4	1.0768	1.1466	1.2972	0.5836	1.1213
41	M3	M3	M4	Q	A	1.0322	1.1370	1.2249	1.1707	1.1780
42	M4	A	M3	M4	M3	1.0623	1.2105	1.2984	0.7825	1.1334
43	A	A	M3	M4	K	1.0732	1.1310	1.1466	0.4854	1.1533
44	K	Q	M3	M4	K	1.1984	1.1755	0.9997	1.1912	1.2165
45	Q	M4	K	K	Q	1.1177	1.2033	1.1551	1.1683	1.1466
46	J	K	M4	M4	M2	0.5447	1.2936	1.1358	1.1563	1.1346
47	K	M2	Q	Q	C1	0.3714	1.1611	1.1539	1.1141	1.1792
48	A	K	C1	Q	M4	0.3846	1.0840	1.0961	1.1683	1.1755
49	M2	M4	M1	J	Q	0.3722	0.5992	1.0503	1.1912	1.1707
50	K	A	A	C1	Q	0.4139	0.5444	1.1177	1.2129	1.0961
51	M2	M3	J	K	K	0.3485	0.5896	1.1394	1.1454	0.5956
52	J	M4	M3	M4	A	0.5447	0.5878	1.1310	1.2141	0.5559
53	K	A	M1	K	M4	0.3714	0.5944	1.0093	1.1647	0.5781
54	A	A	M4	M2	M3	0.3846	0.6528	0.9744	1.1900	0.5589
55	M2	M2	Q	K	M2	0.3722	0.5342	1.1599	0.2606	0.5848
56	K	M4	A	K	Q	0.4139	0.5992	1.0852	0.2606	0.6058
57	M2	A	K	K	Q	0.3485	0.5444	1.1936	0.2606	0.5805
58	J	M3	M1	K	Q	0.5447	1.1575	1.3056	0.2606	0.5703
59	K	M4	M3	K	M3	0.3714	1.1912	1.1743	0.2606	0.5763
