seed,score,percentage
2933,0,20
9974,0,20
14707,0,20
17240,0,20
25399,0,20
28835,0,20
29632,0,20
31530,0,20
44162,0,20
48143,0,20
67960,0,20
71430,0,20
80855,0,20
95542,0,20
7353,8,20
9325,8,20
14994,8,20
24102,8,20
43757,8,20
47799,8,20
55602,8,20
59187,8,20
63052,8,20
63259,8,20
87858,8,20
91452,8,20
96483,8,20
1322,11,20
3702,11,20
10882,11,20
13867,11,20
19202,11,20
20226,11,20
22135,11,20
25088,11,20
26435,11,20
32766,11,20
33036,11,20
48887,11,20
62209,11,20
65352,11,20
68746,11,20
70101,11,20
70839,11,20
71668,11,20
72643,11,20
76261,11,20
78857,11,20
84881,11,20
85533,11,20
88405,11,20
89202,11,20
26000,14,20
29301,14,20
30769,14,20
30990,14,20
31026,14,20
31817,14,20
65476,14,20
71911,14,20
79722,14,20
99152,14,20
67693,15,20
21606,16,20
34440,16,20
83035,16,20
28844,17,20
50826,17,20
5060,18,20
11509,18,20
16765,18,20
43150,18,20
49985,18,20
93086,18,20
52481,20,20
64310,20,20
26587,23,20
38918,23,20
46955,23,20
28703,24,20
48233,24,20
92132,24,20
586,25,20
12699,25,20
38437,25,20
43760,25,20
43945,25,20
49744,25,20
55240,25,20
60027,25,20
65349,25,20
97651,25,20
93883,28,20
3408,29,20
8196,29,20
12095,29,20
14329,29,20
30196,29,20
30479,29,20
33203,29,20
49910,29,20
51543,29,20
53495,29,20
66073,29,20
84664,29,20
12079,30,20
17031,30,20
80462,30,20
86010,30,20
95512,30,20
2370,32,20
57726,32,20
63252,32,20
67881,32,20
329,33,20
505,33,20
802,33,20
3370,33,20
10547,33,20
70056,33,20
71768,33,20
74190,33,20
81705,33,20
43905,34,20
91415,34,20
12938,35,20
24818,35,20
36036,35,20
39214,35,20
46993,35,20
48061,35,20
52413,35,20
84253,35,20
98968,35,20
2821,38,20
12461,38,20
48760,38,20
162,40,20
30880,40,20
31673,40,20
48525,40,20
57935,40,20
58890,40,20
72415,40,20
80010,40,20
12577,42,20
28915,42,20
93849,42,20
74456,43,20
92898,43,20
6926,46,20
43360,46,20
44422,46,20
50263,46,20
67930,46,20
73337,46,20
77044,46,20
79694,46,20
95195,46,20
5062,47,20
21873,47,20
25095,47,20
26108,47,20
29991,47,20
40135,47,20
41158,47,20
45732,47,20
46704,47,20
48458,47,20
52720,47,20
59202,47,20
61261,47,20
80054,47,20
80482,47,20
85264,47,20
88259,47,20
67188,48,20
81809,48,20
1117,52,20
18164,52,20
42428,52,20
54018,52,20
66860,52,20
76574,52,20
6105,53,20
20970,53,20
25991,53,20
80080,53,20
11053,54,20
25161,54,20
30608,54,20
36778,54,20
42991,54,20
96239,54,20
25909,55,20
27768,55,20
39778,55,20
6761,56,20
29262,56,20
35988,56,20
46378,56,20
46773,56,20
78301,56,20
95196,56,20
19825,57,20
23554,57,20
26366,57,20
38958,57,20
49829,57,20
81646,57,20
85139,57,20
2538,58,20
14914,58,20
15316,58,20
23373,58,20
24510,58,20
49888,58,20
56768,58,20
61424,58,20
80714,58,20
90362,58,20
91974,58,20
92598,58,20
98131,58,20
98187,58,20
99047,58,20
699,59,20
1742,59,20
20073,59,20
25827,59,20
39952,59,20
40884,59,20
56924,59,20
17256,60,20
24426,60,20
36373,60,20
44197,60,20
49699,60,20
62079,60,20
94340,60,20
12450,61,20
19315,61,20
34464,61,20
37237,61,20
54937,61,20
66035,61,20
72403,61,20
75899,61,20
97331,61,20
15435,62,20
17373,62,20
21933,62,20
22665,62,20
43985,62,20
49207,62,20
56150,62,20
63121,62,20
71724,62,20
78486,62,20
80052,62,20
8399,63,20
20938,63,20
47213,63,20
58633,63,20
61798,63,20
72132,63,20
73394,63,20
73469,63,20
78049,63,20
86150,63,20
88353,63,20
