
=====================================================================================================================
                                          Overall     BaseGame     FreeGame  FreeGameAll   MysteryWin
=====================================================================================================================
    0.0*Line <= Xi <=     0.0*Line :    0.7371106    0.7442132    0.0751471    0.0000000    0.0000000
    0.0*Line <  Xi <=     1.0*Line :    0.1975883    0.1981008    0.2412504    0.0000000    0.0000000
    1.0*Line <  Xi <=     2.0*Line :    0.0222641    0.0222921    0.2775351    0.0000000    0.0000520
    2.0*Line <  Xi <=     3.0*Line :    0.0080890    0.0080995    0.1197050    0.0000000    0.0018465
    3.0*Line <  Xi <=     4.0*Line :    0.0072218    0.0072288    0.0754367    0.0000000    0.0111438
    4.0*Line <  Xi <=     5.0*Line :    0.0012900    0.0012945    0.0410099    0.0000000    0.0191017
    5.0*Line <  Xi <=     6.0*Line :    0.0048754    0.0048802    0.0421759    0.0000000    0.0162410
    6.0*Line <  Xi <=     7.0*Line :    0.0026840    0.0026872    0.0263002    0.0000000    0.0147587
    7.0*Line <  Xi <=     8.0*Line :    0.0012240    0.0012270    0.0177525    0.0000000    0.0229247
    8.0*Line <  Xi <=     9.0*Line :    0.0005104    0.0005124    0.0109787    0.0000000    0.0304015
    9.0*Line <  Xi <=    10.0*Line :    0.0009969    0.0009983    0.0063350    0.0000000    0.0395818
   10.0*Line <  Xi <=    15.0*Line :    0.0040801    0.0040812    0.0393061    0.0006372    0.2091569
   15.0*Line <  Xi <=    20.0*Line :    0.0014024    0.0013549    0.0095620    0.0064756    0.2067773
   20.0*Line <  Xi <=    25.0*Line :    0.0012951    0.0011049    0.0090706    0.0250832    0.1547124
   25.0*Line <  Xi <=    30.0*Line :    0.0008557    0.0004279    0.0024598    0.0559659    0.1010741
   30.0*Line <  Xi <=    35.0*Line :    0.0009845    0.0003237    0.0014957    0.0862244    0.0550166
   35.0*Line <  Xi <=    40.0*Line :    0.0011483    0.0003418    0.0013954    0.1052611    0.0355248
   40.0*Line <  Xi <=    45.0*Line :    0.0011026    0.0002164    0.0015358    0.1154036    0.0233538
   45.0*Line <  Xi <=    50.0*Line :    0.0009379    0.0000854    0.0002056    0.1110735    0.0117289
   50.0*Line <  Xi <=    60.0*Line :    0.0015697    0.0001535    0.0004162    0.1837486    0.0176064
   60.0*Line <  Xi <=    70.0*Line :    0.0010301    0.0001142    0.0003335    0.1189795    0.0083221
   70.0*Line <  Xi <=    80.0*Line :    0.0006596    0.0000860    0.0002131    0.0743264    0.0072558
   80.0*Line <  Xi <=    90.0*Line :    0.0003771    0.0000373    0.0001843    0.0438209    0.0048242
   90.0*Line <  Xi <=   100.0*Line :    0.0002229    0.0000285    0.0000539    0.0251742    0.0029907
  100.0*Line <  Xi <=   125.0*Line :    0.0002943    0.0000556    0.0000639    0.0309867    0.0039660
  125.0*Line <  Xi <=   150.0*Line :    0.0001040    0.0000219    0.0000426    0.0105586    0.0011833
