=======================H&S 倍率線型 (x=倍率, y=機率=場次/H&S觸發次數, 區間下界 例:10 代表 10<=x<15)=======================================
H&S odd = 0, times = 4316637, prob = 0.71943950
H&S odd = 1, times = 1359994, prob = 0.22666567
H&S odd = 2, times = 253149, prob = 0.04219150
H&S odd = 3, times = 51140, prob = 0.00852333
H&S odd = 4, times = 13077, prob = 0.00217950
H&S odd = 5, times = 4014, prob = 0.00066900
H&S odd = 6, times = 1331, prob = 0.00022183
H&S odd = 7, times = 451, prob = 0.00007517
H&S odd = 8, times = 135, prob = 0.00002250
H&S odd = 9, times = 46, prob = 0.00000767
H&S odd = 10, times = 26, prob = 0.00000433
H&S odd = 15, times = 0, prob = 0.00000000
H&S odd = 20, times = 0, prob = 0.00000000
H&S odd = 25, times = 0, prob = 0.00000000
H&S odd = 30, times = 0, prob = 0.00000000
H&S odd = 35, times = 0, prob = 0.00000000
H&S odd = 40, times = 0, prob = 0.00000000
H&S odd = 45, times = 0, prob = 0.00000000
H&S odd = 50, times = 0, prob = 0.00000000
H&S odd = 60, times = 0, prob = 0.00000000
H&S odd = 70, times = 0, prob = 0.00000000
H&S odd = 80, times = 0, prob = 0.00000000
H&S odd = 90, times = 0, prob = 0.00000000
H&S odd = 100, times = 0, prob = 0.00000000
H&S odd = 120, times = 0, prob = 0.00000000
H&S odd = 140, times = 0, prob = 0.00000000
H&S odd = 160, times = 0, prob = 0.00000000
H&S odd = 180, times = 0, prob = 0.00000000
H&S odd = 200, times = 0, prob = 0.00000000
H&S odd = 250, times = 0, prob = 0.00000000
H&S odd = 300, times = 0, prob = 0.00000000
H&S odd = 350, times = 0, prob = 0.00000000
H&S odd = 400, times = 0, prob = 0.00000000
H&S odd = 450, times = 0, prob = 0.00000000
H&S odd = 500, times = 0, prob = 0.00000000
H&S odd = 550, times = 0, prob = 0.00000000
H&S odd = 600, times = 0, prob = 0.00000000
H&S odd = 650, times = 0, prob = 0.00000000
H&S odd = 700, times = 0, prob = 0.00000000
H&S odd = 750, times = 0, prob = 0.00000000
H&S odd = 800, times = 0, prob = 0.00000000
H&S odd = 850, times = 0, prob = 0.00000000
H&S odd = 900, times = 0, prob = 0.00000000
H&S odd = 950, times = 0, prob = 0.00000000
H&S odd = 1000, times = 0, prob = 0.00000000
H&S odd = 2000, times = 0, prob = 0.00000000
H&S odd = 3000, times = 0, prob = 0.00000000
H&S odd = 4000, times = 0, prob = 0.00000000
H&S odd = 5000, times = 0, prob = 0.00000000
H&S odd = 6000, times = 0, prob = 0.00000000
H&S odd = 7000, times = 0, prob = 0.00000000
H&S odd = 8000, times = 0, prob = 0.00000000
H&S odd = 9000, times = 0, prob = 0.00000000
H&S odd = 10000, times = 0, prob = 0.00000000
H&S odd = 20000, times = 0, prob = 0.00000000
H&S odd = 30000, times = 0, prob = 0.00000000
H&S odd = 40000, times = 0, prob = 0.00000000
H&S odd = 50000, times = 0, prob = 0.00000000
H&S odd = 60000, times = 0, prob = 0.00000000
H&S odd = 70000, times = 0, prob = 0.00000000
H&S odd = 80000, times = 0, prob = 0.00000000
H&S odd = 90000, times = 0, prob = 0.00000000
H&S odd = 100000, times = 0, prob = 0.00000000
H&S odd = 9999999, times = 0, prob = 0.00000000
=======================整體 平均倍數 / H&S 中位數=======================================
整體 平均倍數 (mean = totalWin/totalBet) = 0.8503, H&S 中位數 (median, 整數倍率) = 0


